,Location,Humidity9am,Humidity3pm
30379,Sydney,90.0,87.0
30380,Sydney,65.0,53.0
30381,Sydney,63.0,47.0
30382,Sydney,76.0,48.0
30383,Sydney,78.0,51.0
30384,Sydney,59.0,
30385,Sydney,85.0,59.0
30386,Sydney,70.0,62.0
30387,Sydney,82.0,65.0
30388,Sydney,91.0,71.0
30389,Sydney,54.0,41.0
30390,Sydney,56.0,39.0
30391,Sydney,67.0,64.0
30392,Sydney,55.0,64.0
30393,Sydney,76.0,88.0
30394,Sydney,92.0,88.0
30395,Sydney,69.0,51.0
30396,Sydney,68.0,51.0
30397,Sydney,49.0,43.0
30398,Sydney,66.0,44.0
30399,Sydney,72.0,60.0
30400,Sydney,53.0,35.0
30401,Sydney,40.0,47.0
30402,Sydney,82.0,79.0
30403,Sydney,58.0,23.0
30404,Sydney,30.0,25.0
30405,Sydney,60.0,58.0
30406,Sydney,63.0,61.0
30407,Sydney,67.0,47.0
30408,Sydney,46.0,17.0
30409,Sydney,73.0,61.0
30410,Sydney,64.0,33.0
30411,Sydney,88.0,60.0
30412,Sydney,60.0,50.0
30413,Sydney,67.0,54.0
30414,Sydney,56.0,53.0
30415,Sydney,67.0,62.0
30416,Sydney,35.0,62.0
30417,Sydney,42.0,63.0
30418,Sydney,61.0,48.0
30419,Sydney,70.0,69.0
30420,Sydney,44.0,39.0
30421,Sydney,41.0,20.0
30422,Sydney,89.0,88.0
30423,Sydney,93.0,86.0
30424,Sydney,85.0,71.0
30425,Sydney,51.0,42.0
30426,Sydney,53.0,47.0
30427,Sydney,56.0,58.0
30428,Sydney,76.0,57.0
30429,Sydney,82.0,65.0
30430,Sydney,76.0,69.0
30431,Sydney,72.0,43.0
30432,Sydney,89.0,84.0
30433,Sydney,63.0,55.0
30434,Sydney,64.0,42.0
30435,Sydney,71.0,49.0
30436,Sydney,77.0,82.0
30437,Sydney,64.0,48.0
30438,Sydney,76.0,55.0
30439,Sydney,68.0,59.0
30440,Sydney,87.0,74.0
30441,Sydney,71.0,75.0
30442,Sydney,66.0,51.0
30443,Sydney,66.0,47.0
30444,Sydney,58.0,57.0
30445,Sydney,55.0,38.0
30446,Sydney,67.0,70.0
30447,Sydney,93.0,91.0
30448,Sydney,92.0,70.0
30449,Sydney,53.0,24.0
30450,Sydney,73.0,64.0
30451,Sydney,72.0,60.0
30452,Sydney,62.0,35.0
30453,Sydney,59.0,62.0
30454,Sydney,59.0,60.0
30455,Sydney,58.0,45.0
30456,Sydney,61.0,60.0
30457,Sydney,62.0,47.0
30458,Sydney,46.0,60.0
30459,Sydney,63.0,56.0
30460,Sydney,66.0,49.0
30461,Sydney,69.0,54.0
30462,Sydney,61.0,65.0
30463,Sydney,65.0,57.0
30464,Sydney,92.0,73.0
30465,Sydney,75.0,64.0
30466,Sydney,60.0,50.0
30467,Sydney,60.0,60.0
30468,Sydney,91.0,78.0
30469,Sydney,70.0,59.0
30470,Sydney,34.0,46.0
30471,Sydney,49.0,30.0
30472,Sydney,50.0,55.0
30473,Sydney,47.0,49.0
30474,Sydney,62.0,63.0
30475,Sydney,55.0,55.0
30476,Sydney,58.0,64.0
30477,Sydney,71.0,75.0
30478,Sydney,92.0,79.0
30479,Sydney,64.0,55.0
30480,Sydney,29.0,21.0
30481,Sydney,65.0,65.0
30482,Sydney,67.0,19.0
30483,Sydney,59.0,57.0
30484,Sydney,78.0,70.0
30485,Sydney,57.0,56.0
30486,Sydney,81.0,78.0
30487,Sydney,74.0,72.0
30488,Sydney,81.0,60.0
30489,Sydney,71.0,66.0
30490,Sydney,90.0,58.0
30491,Sydney,85.0,92.0
30492,Sydney,82.0,25.0
30493,Sydney,42.0,32.0
30494,Sydney,39.0,43.0
30495,Sydney,58.0,48.0
30496,Sydney,68.0,73.0
30497,Sydney,65.0,68.0
30498,Sydney,67.0,58.0
30499,Sydney,57.0,69.0
30500,Sydney,60.0,50.0
30501,Sydney,56.0,57.0
30502,Sydney,60.0,56.0
30503,Sydney,77.0,78.0
30504,Sydney,73.0,60.0
30505,Sydney,75.0,71.0
30506,Sydney,79.0,70.0
30507,Sydney,72.0,63.0
30508,Sydney,72.0,68.0
30509,Sydney,81.0,72.0
30510,Sydney,37.0,42.0
30511,Sydney,73.0,22.0
30512,Sydney,62.0,57.0
30513,Sydney,58.0,49.0
30514,Sydney,59.0,58.0
30515,Sydney,66.0,60.0
30516,Sydney,77.0,64.0
30517,Sydney,72.0,67.0
30518,Sydney,78.0,72.0
30519,Sydney,54.0,47.0
30520,Sydney,54.0,53.0
30521,Sydney,58.0,57.0
30522,Sydney,71.0,61.0
30523,Sydney,74.0,56.0
30524,Sydney,67.0,49.0
30525,Sydney,61.0,39.0
30526,Sydney,69.0,61.0
30527,Sydney,52.0,48.0
30528,Sydney,62.0,46.0
30529,Sydney,55.0,57.0
30530,Sydney,61.0,54.0
30531,Sydney,66.0,55.0
30532,Sydney,52.0,45.0
30533,Sydney,59.0,58.0
30534,Sydney,55.0,20.0
30535,Sydney,57.0,51.0
30536,Sydney,80.0,72.0
30537,Sydney,95.0,93.0
30538,Sydney,78.0,60.0
30539,Sydney,73.0,67.0
30540,Sydney,72.0,59.0
30541,Sydney,76.0,54.0
30542,Sydney,71.0,66.0
30543,Sydney,79.0,63.0
30544,Sydney,63.0,60.0
30545,Sydney,84.0,71.0
30546,Sydney,73.0,58.0
30547,Sydney,75.0,64.0
30548,Sydney,68.0,34.0
30549,Sydney,69.0,53.0
30550,Sydney,84.0,81.0
30551,Sydney,94.0,89.0
30552,Sydney,77.0,61.0
30553,Sydney,76.0,56.0
30554,Sydney,86.0,90.0
30555,Sydney,66.0,67.0
30556,Sydney,88.0,66.0
30557,Sydney,82.0,62.0
30558,Sydney,70.0,71.0
30559,Sydney,93.0,62.0
30560,Sydney,74.0,60.0
30561,Sydney,78.0,68.0
30562,Sydney,85.0,68.0
30563,Sydney,70.0,59.0
30564,Sydney,78.0,63.0
30565,Sydney,82.0,57.0
30566,Sydney,83.0,63.0
30567,Sydney,74.0,58.0
30568,Sydney,78.0,50.0
30569,Sydney,70.0,61.0
30570,Sydney,70.0,60.0
30571,Sydney,71.0,60.0
30572,Sydney,61.0,55.0
30573,Sydney,73.0,49.0
30574,Sydney,39.0,37.0
30575,Sydney,67.0,48.0
30576,Sydney,77.0,58.0
30577,Sydney,80.0,77.0
30578,Sydney,94.0,69.0
30579,Sydney,66.0,53.0
30580,Sydney,59.0,70.0
30581,Sydney,87.0,57.0
30582,Sydney,85.0,76.0
30583,Sydney,82.0,64.0
30584,Sydney,81.0,61.0
30585,Sydney,42.0,29.0
30586,Sydney,47.0,48.0
30587,Sydney,72.0,52.0
30588,Sydney,76.0,67.0
30589,Sydney,80.0,69.0
30590,Sydney,83.0,58.0
30591,Sydney,82.0,58.0
30592,Sydney,66.0,61.0
30593,Sydney,67.0,59.0
30594,Sydney,69.0,60.0
30595,Sydney,72.0,56.0
30596,Sydney,69.0,59.0
30597,Sydney,85.0,49.0
30598,Sydney,77.0,66.0
30599,Sydney,66.0,65.0
30600,Sydney,86.0,89.0
30601,Sydney,93.0,73.0
30602,Sydney,87.0,79.0
30603,Sydney,92.0,73.0
30604,Sydney,84.0,58.0
30605,Sydney,72.0,67.0
30606,Sydney,69.0,59.0
30607,Sydney,67.0,55.0
30608,Sydney,66.0,59.0
30609,Sydney,72.0,58.0
30610,Sydney,81.0,65.0
30611,Sydney,80.0,69.0
30612,Sydney,89.0,72.0
30613,Sydney,79.0,84.0
30614,Sydney,89.0,70.0
30615,Sydney,70.0,25.0
30616,Sydney,43.0,38.0
30617,Sydney,56.0,51.0
30618,Sydney,66.0,56.0
30619,Sydney,91.0,62.0
30620,Sydney,60.0,59.0
30621,Sydney,59.0,64.0
30622,Sydney,85.0,65.0
30623,Sydney,87.0,60.0
30624,Sydney,75.0,63.0
30625,Sydney,52.0,40.0
30626,Sydney,47.0,29.0
30627,Sydney,43.0,26.0
30628,Sydney,54.0,30.0
30629,Sydney,59.0,63.0
30630,Sydney,92.0,88.0
30631,Sydney,76.0,53.0
30632,Sydney,61.0,56.0
30633,Sydney,85.0,61.0
30634,Sydney,84.0,53.0
30635,Sydney,86.0,61.0
30636,Sydney,92.0,61.0
30637,Sydney,67.0,44.0
30638,Sydney,71.0,61.0
30639,Sydney,74.0,46.0
30640,Sydney,86.0,46.0
30641,Sydney,74.0,55.0
30642,Sydney,78.0,51.0
30643,Sydney,80.0,39.0
30644,Sydney,50.0,31.0
30645,Sydney,58.0,34.0
30646,Sydney,49.0,38.0
30647,Sydney,64.0,40.0
30648,Sydney,74.0,52.0
30649,Sydney,91.0,53.0
30650,Sydney,68.0,62.0
30651,Sydney,53.0,62.0
30652,Sydney,59.0,85.0
30653,Sydney,66.0,80.0
30654,Sydney,52.0,48.0
30655,Sydney,82.0,61.0
30656,Sydney,89.0,57.0
30657,Sydney,88.0,86.0
30658,Sydney,92.0,72.0
30659,Sydney,65.0,65.0
30660,Sydney,82.0,78.0
30661,Sydney,86.0,67.0
30662,Sydney,83.0,67.0
30663,Sydney,91.0,68.0
30664,Sydney,89.0,87.0
30665,Sydney,97.0,86.0
30666,Sydney,93.0,55.0
30667,Sydney,71.0,45.0
30668,Sydney,80.0,42.0
30669,Sydney,63.0,34.0
30670,Sydney,62.0,44.0
30671,Sydney,37.0,32.0
30672,Sydney,48.0,28.0
30673,Sydney,67.0,41.0
30674,Sydney,70.0,40.0
30675,Sydney,74.0,61.0
30676,Sydney,79.0,40.0
30677,Sydney,81.0,88.0
30678,Sydney,92.0,87.0
30679,Sydney,95.0,85.0
30680,Sydney,95.0,46.0
30681,Sydney,95.0,87.0
30682,Sydney,93.0,82.0
30683,Sydney,96.0,59.0
30684,Sydney,91.0,58.0
30685,Sydney,86.0,49.0
30686,Sydney,69.0,50.0
30687,Sydney,76.0,51.0
30688,Sydney,84.0,79.0
30689,Sydney,86.0,54.0
30690,Sydney,67.0,47.0
30691,Sydney,66.0,54.0
30692,Sydney,61.0,27.0
30693,Sydney,55.0,32.0
30694,Sydney,50.0,41.0
30695,Sydney,59.0,34.0
30696,Sydney,54.0,32.0
30697,Sydney,74.0,48.0
30698,Sydney,81.0,60.0
30699,Sydney,96.0,61.0
30700,Sydney,96.0,63.0
30701,Sydney,97.0,65.0
30702,Sydney,94.0,58.0
30703,Sydney,80.0,56.0
30704,Sydney,67.0,53.0
30705,Sydney,68.0,34.0
30706,Sydney,79.0,42.0
30707,Sydney,78.0,47.0
30708,Sydney,80.0,59.0
30709,Sydney,84.0,42.0
30710,Sydney,66.0,37.0
30711,Sydney,72.0,34.0
30712,Sydney,68.0,43.0
30713,Sydney,54.0,39.0
30714,Sydney,62.0,42.0
30715,Sydney,62.0,51.0
30716,Sydney,81.0,54.0
30717,Sydney,83.0,68.0
30718,Sydney,72.0,34.0
30719,Sydney,63.0,38.0
30720,Sydney,61.0,41.0
30721,Sydney,65.0,39.0
30722,Sydney,66.0,38.0
30723,Sydney,60.0,33.0
30724,Sydney,63.0,46.0
30725,Sydney,58.0,29.0
30726,Sydney,70.0,33.0
30727,Sydney,69.0,40.0
30728,Sydney,73.0,55.0
30729,Sydney,47.0,21.0
30730,Sydney,46.0,41.0
30731,Sydney,70.0,55.0
30732,Sydney,77.0,59.0
30733,Sydney,81.0,64.0
30734,Sydney,77.0,32.0
30735,Sydney,63.0,35.0
30736,Sydney,61.0,62.0
30737,Sydney,77.0,35.0
30738,Sydney,66.0,27.0
30739,Sydney,37.0,20.0
30740,Sydney,48.0,45.0
30741,Sydney,70.0,50.0
30742,Sydney,74.0,58.0
30743,Sydney,47.0,33.0
30744,Sydney,51.0,47.0
30745,Sydney,64.0,51.0
30746,Sydney,47.0,59.0
30747,Sydney,29.0,26.0
30748,Sydney,32.0,20.0
30749,Sydney,44.0,37.0
30750,Sydney,44.0,21.0
30751,Sydney,51.0,59.0
30752,Sydney,34.0,23.0
30753,Sydney,40.0,30.0
30754,Sydney,49.0,36.0
30755,Sydney,60.0,58.0
30756,Sydney,80.0,84.0
30757,Sydney,81.0,43.0
30758,Sydney,36.0,35.0
30759,Sydney,53.0,58.0
30760,Sydney,74.0,57.0
30761,Sydney,56.0,56.0
30762,Sydney,47.0,35.0
30763,Sydney,45.0,38.0
30764,Sydney,50.0,47.0
30765,Sydney,49.0,27.0
30766,Sydney,24.0,17.0
30767,Sydney,70.0,60.0
30768,Sydney,77.0,66.0
30769,Sydney,80.0,79.0
30770,Sydney,68.0,25.0
30771,Sydney,43.0,51.0
30772,Sydney,63.0,63.0
30773,Sydney,49.0,30.0
30774,Sydney,69.0,67.0
30775,Sydney,45.0,34.0
30776,Sydney,40.0,36.0
30777,Sydney,36.0,26.0
30778,Sydney,36.0,33.0
30779,Sydney,24.0,19.0
30780,Sydney,30.0,23.0
30781,Sydney,39.0,31.0
30782,Sydney,42.0,45.0
30783,Sydney,57.0,34.0
30784,Sydney,21.0,10.0
30785,Sydney,72.0,68.0
30786,Sydney,91.0,89.0
30787,Sydney,88.0,61.0
30788,Sydney,91.0,65.0
30789,Sydney,77.0,64.0
30790,Sydney,51.0,29.0
30791,Sydney,49.0,48.0
30792,Sydney,65.0,76.0
30793,Sydney,84.0,59.0
30794,Sydney,91.0,57.0
30795,Sydney,61.0,63.0
30796,Sydney,38.0,21.0
30797,Sydney,36.0,34.0
30798,Sydney,46.0,28.0
30799,Sydney,42.0,19.0
30800,Sydney,53.0,43.0
30801,Sydney,80.0,61.0
30802,Sydney,71.0,57.0
30803,Sydney,71.0,62.0
30804,Sydney,44.0,28.0
30805,Sydney,67.0,63.0
30806,Sydney,66.0,70.0
30807,Sydney,63.0,56.0
30808,Sydney,72.0,94.0
30809,Sydney,91.0,60.0
30810,Sydney,58.0,56.0
30811,Sydney,76.0,68.0
30812,Sydney,81.0,66.0
30813,Sydney,78.0,60.0
30814,Sydney,80.0,65.0
30815,Sydney,62.0,58.0
30816,Sydney,82.0,68.0
30817,Sydney,73.0,18.0
30818,Sydney,71.0,76.0
30819,Sydney,75.0,68.0
30820,Sydney,66.0,57.0
30821,Sydney,69.0,60.0
30822,Sydney,75.0,89.0
30823,Sydney,77.0,61.0
30824,Sydney,61.0,54.0
30825,Sydney,74.0,64.0
30826,Sydney,70.0,54.0
30827,Sydney,66.0,60.0
30828,Sydney,66.0,56.0
30829,Sydney,74.0,63.0
30830,Sydney,72.0,62.0
30831,Sydney,61.0,59.0
30832,Sydney,72.0,51.0
30833,Sydney,70.0,63.0
30834,Sydney,71.0,52.0
30835,Sydney,56.0,45.0
30836,Sydney,75.0,19.0
30837,Sydney,62.0,68.0
30838,Sydney,84.0,74.0
30839,Sydney,82.0,74.0
30840,Sydney,80.0,67.0
30841,Sydney,50.0,41.0
30842,Sydney,63.0,51.0
30843,Sydney,28.0,20.0
30844,Sydney,55.0,61.0
30845,Sydney,58.0,59.0
30846,Sydney,69.0,44.0
30847,Sydney,58.0,52.0
30848,Sydney,69.0,61.0
30849,Sydney,59.0,64.0
30850,Sydney,61.0,58.0
30851,Sydney,67.0,62.0
30852,Sydney,68.0,70.0
30853,Sydney,76.0,59.0
30854,Sydney,75.0,70.0
30855,Sydney,30.0,30.0
30856,Sydney,57.0,55.0
30857,Sydney,68.0,61.0
30858,Sydney,72.0,69.0
30859,Sydney,59.0,62.0
30860,Sydney,74.0,70.0
30861,Sydney,71.0,51.0
30862,Sydney,87.0,83.0
30863,Sydney,70.0,34.0
30864,Sydney,62.0,59.0
30865,Sydney,65.0,64.0
30866,Sydney,58.0,53.0
30867,Sydney,70.0,68.0
30868,Sydney,,69.0
30869,Sydney,65.0,85.0
30870,Sydney,91.0,85.0
30871,Sydney,92.0,80.0
30872,Sydney,97.0,83.0
30873,Sydney,69.0,55.0
30874,Sydney,66.0,57.0
30875,Sydney,92.0,83.0
30876,Sydney,84.0,56.0
30877,Sydney,70.0,79.0
30878,Sydney,80.0,74.0
30879,Sydney,64.0,58.0
30880,Sydney,64.0,60.0
30881,Sydney,83.0,71.0
30882,Sydney,66.0,59.0
30883,Sydney,66.0,59.0
30884,Sydney,76.0,51.0
30885,Sydney,65.0,56.0
30886,Sydney,64.0,60.0
30887,Sydney,77.0,65.0
30888,Sydney,64.0,69.0
30889,Sydney,90.0,75.0
30890,Sydney,83.0,74.0
30891,Sydney,72.0,63.0
30892,Sydney,64.0,68.0
30893,Sydney,55.0,14.0
30894,Sydney,39.0,31.0
30895,Sydney,41.0,34.0
30896,Sydney,74.0,58.0
30897,Sydney,77.0,64.0
30898,Sydney,28.0,17.0
30899,Sydney,92.0,66.0
30900,Sydney,80.0,70.0
30901,Sydney,83.0,69.0
30902,Sydney,78.0,72.0
30903,Sydney,80.0,81.0
30904,Sydney,81.0,53.0
30905,Sydney,82.0,66.0
30906,Sydney,75.0,70.0
30907,Sydney,73.0,66.0
30908,Sydney,61.0,60.0
30909,Sydney,90.0,66.0
30910,Sydney,83.0,76.0
30911,Sydney,79.0,88.0
30912,Sydney,95.0,95.0
30913,Sydney,95.0,86.0
30914,Sydney,76.0,70.0
30915,Sydney,83.0,65.0
30916,Sydney,72.0,61.0
30917,Sydney,71.0,60.0
30918,Sydney,71.0,32.0
30919,Sydney,92.0,80.0
30920,Sydney,91.0,92.0
30921,Sydney,95.0,67.0
30922,Sydney,65.0,57.0
30923,Sydney,64.0,56.0
30924,Sydney,52.0,51.0
30925,Sydney,60.0,51.0
30926,Sydney,76.0,54.0
30927,Sydney,75.0,59.0
30928,Sydney,61.0,46.0
30929,Sydney,54.0,60.0
30930,Sydney,55.0,52.0
30931,Sydney,45.0,46.0
30932,Sydney,73.0,58.0
30933,Sydney,79.0,60.0
30934,Sydney,83.0,72.0
30935,Sydney,68.0,84.0
30936,Sydney,52.0,52.0
30937,Sydney,53.0,53.0
30938,Sydney,73.0,67.0
30939,Sydney,72.0,83.0
30940,Sydney,90.0,77.0
30941,Sydney,71.0,68.0
30942,Sydney,72.0,65.0
30943,Sydney,46.0,35.0
30944,Sydney,85.0,67.0
30945,Sydney,63.0,49.0
30946,Sydney,55.0,54.0
30947,Sydney,68.0,52.0
30948,Sydney,87.0,50.0
30949,Sydney,78.0,57.0
30950,Sydney,82.0,54.0
30951,Sydney,80.0,54.0
30952,Sydney,77.0,51.0
30953,Sydney,82.0,60.0
30954,Sydney,64.0,68.0
30955,Sydney,64.0,56.0
30956,Sydney,64.0,57.0
30957,Sydney,74.0,60.0
30958,Sydney,79.0,58.0
30959,Sydney,75.0,61.0
30960,Sydney,80.0,52.0
30961,Sydney,80.0,66.0
30962,Sydney,82.0,66.0
30963,Sydney,78.0,56.0
30964,Sydney,92.0,88.0
30965,Sydney,68.0,67.0
30966,Sydney,68.0,45.0
30967,Sydney,74.0,46.0
30968,Sydney,72.0,56.0
30969,Sydney,84.0,59.0
30970,Sydney,76.0,64.0
30971,Sydney,74.0,62.0
30972,Sydney,90.0,65.0
30973,Sydney,77.0,71.0
30974,Sydney,68.0,55.0
30975,Sydney,78.0,41.0
30976,Sydney,58.0,33.0
30977,Sydney,33.0,22.0
30978,Sydney,52.0,46.0
30979,Sydney,71.0,49.0
30980,Sydney,77.0,62.0
30981,Sydney,77.0,64.0
30982,Sydney,82.0,63.0
30983,Sydney,84.0,66.0
30984,Sydney,82.0,65.0
30985,Sydney,87.0,57.0
30986,Sydney,95.0,63.0
30987,Sydney,81.0,63.0
30988,Sydney,68.0,50.0
30989,Sydney,57.0,49.0
30990,Sydney,77.0,70.0
30991,Sydney,56.0,46.0
30992,Sydney,65.0,41.0
30993,Sydney,64.0,32.0
30994,Sydney,44.0,35.0
30995,Sydney,79.0,64.0
30996,Sydney,89.0,74.0
30997,Sydney,90.0,30.0
30998,Sydney,75.0,60.0
30999,Sydney,80.0,54.0
31000,Sydney,59.0,41.0
31001,Sydney,48.0,34.0
31002,Sydney,62.0,33.0
31003,Sydney,65.0,46.0
31004,Sydney,68.0,50.0
31005,Sydney,78.0,61.0
31006,Sydney,64.0,19.0
31007,Sydney,40.0,29.0
31008,Sydney,53.0,36.0
31009,Sydney,60.0,35.0
31010,Sydney,62.0,47.0
31011,Sydney,71.0,60.0
31012,Sydney,85.0,68.0
31013,Sydney,94.0,92.0
31014,Sydney,91.0,62.0
31015,Sydney,82.0,55.0
31016,Sydney,83.0,58.0
31017,Sydney,92.0,58.0
31018,Sydney,91.0,93.0
31019,Sydney,86.0,68.0
31020,Sydney,89.0,84.0
31021,Sydney,96.0,94.0
31022,Sydney,82.0,62.0
31023,Sydney,92.0,53.0
31024,Sydney,88.0,87.0
31025,Sydney,78.0,56.0
31026,Sydney,87.0,68.0
31027,Sydney,80.0,60.0
31028,Sydney,81.0,63.0
31029,Sydney,91.0,90.0
31030,Sydney,85.0,94.0
31031,Sydney,80.0,67.0
31032,Sydney,64.0,70.0
31033,Sydney,60.0,77.0
31034,Sydney,78.0,62.0
31035,Sydney,71.0,34.0
31036,Sydney,48.0,30.0
31037,Sydney,64.0,37.0
31038,Sydney,63.0,42.0
31039,Sydney,66.0,50.0
31040,Sydney,75.0,50.0
31041,Sydney,86.0,56.0
31042,Sydney,89.0,59.0
31043,Sydney,67.0,69.0
31044,Sydney,58.0,39.0
31045,Sydney,59.0,41.0
31046,Sydney,71.0,40.0
31047,Sydney,95.0,80.0
31048,Sydney,84.0,78.0
