Location,Humidity9am,Humidity3pm,AvgHumidity
Sydney,72.0,45.0,58.5
Sydney,69.0,43.0,56.0
Sydney,47.0,38.0,42.5
Sydney,57.0,32.0,44.5
Sydney,68.0,43.0,55.5
Sydney,84.0,42.0,63.0
Sydney,47.0,35.0,41.0
Sydney,45.0,34.0,39.5
Sydney,55.0,35.0,45.0
Sydney,63.0,42.0,52.5
Sydney,84.0,88.0,86.0
Sydney,78.0,48.0,63.0
Sydney,84.0,59.0,71.5
Sydney,87.0,55.0,71.0
Sydney,80.0,49.0,64.5
Sydney,57.0,43.0,50.0
Sydney,58.0,38.0,48.0
Sydney,46.0,27.0,36.5
Sydney,67.0,45.0,56.0
Sydney,67.0,58.0,62.5
Sydney,80.0,54.0,67.0
Sydney,81.0,70.0,75.5
Sydney,81.0,50.0,65.5
Sydney,84.0,38.0,61.0
Sydney,73.0,21.0,47.0
Sydney,53.0,32.0,42.5
Sydney,41.0,55.0,48.0
Sydney,56.0,31.0,43.5
Sydney,52.0,31.0,41.5
Sydney,67.0,61.0,64.0
Sydney,95.0,70.0,82.5
Sydney,93.0,81.0,87.0
Sydney,79.0,47.0,63.0
Sydney,71.0,41.0,56.0
Sydney,79.0,79.0,79.0
Sydney,86.0,59.0,72.5
Sydney,65.0,43.0,54.0
Sydney,71.0,42.0,56.5
Sydney,40.0,46.0,43.0
Sydney,48.0,32.0,40.0
Sydney,52.0,34.0,43.0
Sydney,62.0,45.0,53.5
Sydney,67.0,52.0,59.5
Sydney,89.0,70.0,79.5
Sydney,74.0,75.0,74.5
Sydney,58.0,38.0,48.0
Sydney,56.0,37.0,46.5
Sydney,62.0,38.0,50.0
Sydney,46.0,35.0,40.5
Sydney,50.0,28.0,39.0
Sydney,49.0,34.0,41.5
Sydney,51.0,28.0,39.5
Sydney,49.0,33.0,41.0
Sydney,48.0,42.0,45.0
Sydney,45.0,35.0,40.0
Sydney,59.0,33.0,46.0
Sydney,65.0,32.0,48.5
Sydney,58.0,35.0,46.5
Sydney,58.0,44.0,51.0
Sydney,90.0,87.0,88.5
Sydney,65.0,53.0,59.0
Sydney,63.0,47.0,55.0
Sydney,76.0,48.0,62.0
Sydney,78.0,51.0,64.5
Sydney,59.0,,59.0
Sydney,85.0,59.0,72.0
Sydney,70.0,62.0,66.0
Sydney,82.0,65.0,73.5
Sydney,91.0,71.0,81.0
Sydney,54.0,41.0,47.5
Sydney,56.0,39.0,47.5
Sydney,67.0,64.0,65.5
Sydney,55.0,64.0,59.5
Sydney,76.0,88.0,82.0
Sydney,92.0,88.0,90.0
Sydney,69.0,51.0,60.0
Sydney,68.0,51.0,59.5
Sydney,49.0,43.0,46.0
Sydney,66.0,44.0,55.0
Sydney,72.0,60.0,66.0
Sydney,53.0,35.0,44.0
Sydney,40.0,47.0,43.5
Sydney,82.0,79.0,80.5
Sydney,58.0,23.0,40.5
Sydney,30.0,25.0,27.5
Sydney,60.0,58.0,59.0
Sydney,63.0,61.0,62.0
Sydney,67.0,47.0,57.0
Sydney,46.0,17.0,31.5
Sydney,73.0,61.0,67.0
Sydney,64.0,33.0,48.5
Sydney,88.0,60.0,74.0
Sydney,60.0,50.0,55.0
Sydney,67.0,54.0,60.5
Sydney,56.0,53.0,54.5
Sydney,67.0,62.0,64.5
Sydney,35.0,62.0,48.5
Sydney,42.0,63.0,52.5
Sydney,61.0,48.0,54.5
Sydney,70.0,69.0,69.5
Sydney,44.0,39.0,41.5
Sydney,41.0,20.0,30.5
Sydney,89.0,88.0,88.5
Sydney,93.0,86.0,89.5
Sydney,85.0,71.0,78.0
Sydney,51.0,42.0,46.5
Sydney,53.0,47.0,50.0
Sydney,56.0,58.0,57.0
Sydney,76.0,57.0,66.5
Sydney,82.0,65.0,73.5
Sydney,76.0,69.0,72.5
Sydney,72.0,43.0,57.5
Sydney,89.0,84.0,86.5
Sydney,63.0,55.0,59.0
Sydney,64.0,42.0,53.0
Sydney,71.0,49.0,60.0
Sydney,77.0,82.0,79.5
Sydney,64.0,48.0,56.0
Sydney,76.0,55.0,65.5
Sydney,68.0,59.0,63.5
Sydney,87.0,74.0,80.5
Sydney,71.0,75.0,73.0
Sydney,66.0,51.0,58.5
Sydney,66.0,47.0,56.5
Sydney,58.0,57.0,57.5
Sydney,55.0,38.0,46.5
Sydney,67.0,70.0,68.5
Sydney,93.0,91.0,92.0
Sydney,92.0,70.0,81.0
Sydney,53.0,24.0,38.5
Sydney,73.0,64.0,68.5
Sydney,72.0,60.0,66.0
Sydney,62.0,35.0,48.5
Sydney,59.0,62.0,60.5
Sydney,59.0,60.0,59.5
Sydney,58.0,45.0,51.5
Sydney,61.0,60.0,60.5
Sydney,62.0,47.0,54.5
Sydney,46.0,60.0,53.0
Sydney,63.0,56.0,59.5
Sydney,66.0,49.0,57.5
Sydney,69.0,54.0,61.5
Sydney,61.0,65.0,63.0
Sydney,65.0,57.0,61.0
Sydney,92.0,73.0,82.5
Sydney,75.0,64.0,69.5
Sydney,60.0,50.0,55.0
Sydney,60.0,60.0,60.0
Sydney,91.0,78.0,84.5
Sydney,70.0,59.0,64.5
Sydney,34.0,46.0,40.0
Sydney,49.0,30.0,39.5
Sydney,50.0,55.0,52.5
Sydney,47.0,49.0,48.0
Sydney,62.0,63.0,62.5
Sydney,55.0,55.0,55.0
Sydney,58.0,64.0,61.0
Sydney,71.0,75.0,73.0
Sydney,92.0,79.0,85.5
Sydney,64.0,55.0,59.5
Sydney,29.0,21.0,25.0
Sydney,65.0,65.0,65.0
Sydney,67.0,19.0,43.0
Sydney,59.0,57.0,58.0
Sydney,78.0,70.0,74.0
Sydney,57.0,56.0,56.5
Sydney,81.0,78.0,79.5
Sydney,74.0,72.0,73.0
Sydney,81.0,60.0,70.5
Sydney,71.0,66.0,68.5
Sydney,90.0,58.0,74.0
Sydney,85.0,92.0,88.5
Sydney,82.0,25.0,53.5
Sydney,42.0,32.0,37.0
Sydney,39.0,43.0,41.0
Sydney,58.0,48.0,53.0
Sydney,68.0,73.0,70.5
Sydney,65.0,68.0,66.5
Sydney,67.0,58.0,62.5
Sydney,57.0,69.0,63.0
Sydney,60.0,50.0,55.0
Sydney,56.0,57.0,56.5
Sydney,60.0,56.0,58.0
Sydney,77.0,78.0,77.5
Sydney,73.0,60.0,66.5
Sydney,75.0,71.0,73.0
Sydney,79.0,70.0,74.5
Sydney,72.0,63.0,67.5
Sydney,72.0,68.0,70.0
Sydney,81.0,72.0,76.5
Sydney,37.0,42.0,39.5
Sydney,73.0,22.0,47.5
Sydney,62.0,57.0,59.5
Sydney,58.0,49.0,53.5
Sydney,59.0,58.0,58.5
Sydney,66.0,60.0,63.0
Sydney,77.0,64.0,70.5
Sydney,72.0,67.0,69.5
Sydney,78.0,72.0,75.0
Sydney,54.0,47.0,50.5
Sydney,54.0,53.0,53.5
Sydney,58.0,57.0,57.5
Sydney,71.0,61.0,66.0
Sydney,74.0,56.0,65.0
Sydney,67.0,49.0,58.0
Sydney,61.0,39.0,50.0
Sydney,69.0,61.0,65.0
Sydney,52.0,48.0,50.0
Sydney,62.0,46.0,54.0
Sydney,55.0,57.0,56.0
Sydney,61.0,54.0,57.5
Sydney,66.0,55.0,60.5
Sydney,52.0,45.0,48.5
Sydney,59.0,58.0,58.5
Sydney,55.0,20.0,37.5
Sydney,57.0,51.0,54.0
Sydney,80.0,72.0,76.0
Sydney,95.0,93.0,94.0
Sydney,78.0,60.0,69.0
Sydney,73.0,67.0,70.0
Sydney,72.0,59.0,65.5
Sydney,76.0,54.0,65.0
Sydney,71.0,66.0,68.5
Sydney,79.0,63.0,71.0
Sydney,63.0,60.0,61.5
Sydney,84.0,71.0,77.5
Sydney,73.0,58.0,65.5
Sydney,75.0,64.0,69.5
Sydney,68.0,34.0,51.0
Sydney,69.0,53.0,61.0
Sydney,84.0,81.0,82.5
Sydney,94.0,89.0,91.5
Sydney,77.0,61.0,69.0
Sydney,76.0,56.0,66.0
Sydney,86.0,90.0,88.0
Sydney,66.0,67.0,66.5
Sydney,88.0,66.0,77.0
Sydney,82.0,62.0,72.0
Sydney,70.0,71.0,70.5
Sydney,93.0,62.0,77.5
Sydney,74.0,60.0,67.0
Sydney,78.0,68.0,73.0
Sydney,85.0,68.0,76.5
Sydney,70.0,59.0,64.5
Sydney,78.0,63.0,70.5
Sydney,82.0,57.0,69.5
Sydney,83.0,63.0,73.0
Sydney,74.0,58.0,66.0
Sydney,78.0,50.0,64.0
Sydney,70.0,61.0,65.5
Sydney,70.0,60.0,65.0
Sydney,71.0,60.0,65.5
Sydney,61.0,55.0,58.0
Sydney,73.0,49.0,61.0
Sydney,39.0,37.0,38.0
Sydney,67.0,48.0,57.5
Sydney,77.0,58.0,67.5
Sydney,80.0,77.0,78.5
Sydney,94.0,69.0,81.5
Sydney,66.0,53.0,59.5
Sydney,59.0,70.0,64.5
Sydney,87.0,57.0,72.0
Sydney,85.0,76.0,80.5
Sydney,82.0,64.0,73.0
Sydney,81.0,61.0,71.0
Sydney,42.0,29.0,35.5
Sydney,47.0,48.0,47.5
Sydney,72.0,52.0,62.0
Sydney,76.0,67.0,71.5
Sydney,80.0,69.0,74.5
Sydney,83.0,58.0,70.5
Sydney,82.0,58.0,70.0
Sydney,66.0,61.0,63.5
Sydney,67.0,59.0,63.0
Sydney,69.0,60.0,64.5
Sydney,72.0,56.0,64.0
Sydney,69.0,59.0,64.0
Sydney,85.0,49.0,67.0
Sydney,77.0,66.0,71.5
Sydney,66.0,65.0,65.5
Sydney,86.0,89.0,87.5
Sydney,93.0,73.0,83.0
Sydney,87.0,79.0,83.0
Sydney,92.0,73.0,82.5
Sydney,84.0,58.0,71.0
Sydney,72.0,67.0,69.5
Sydney,69.0,59.0,64.0
Sydney,67.0,55.0,61.0
Sydney,66.0,59.0,62.5
Sydney,72.0,58.0,65.0
Sydney,81.0,65.0,73.0
Sydney,80.0,69.0,74.5
Sydney,89.0,72.0,80.5
Sydney,79.0,84.0,81.5
Sydney,89.0,70.0,79.5
Sydney,70.0,25.0,47.5
Sydney,43.0,38.0,40.5
Sydney,56.0,51.0,53.5
Sydney,66.0,56.0,61.0
Sydney,91.0,62.0,76.5
Sydney,60.0,59.0,59.5
Sydney,59.0,64.0,61.5
Sydney,85.0,65.0,75.0
Sydney,87.0,60.0,73.5
Sydney,75.0,63.0,69.0
Sydney,52.0,40.0,46.0
Sydney,47.0,29.0,38.0
Sydney,43.0,26.0,34.5
Sydney,54.0,30.0,42.0
Sydney,59.0,63.0,61.0
Sydney,92.0,88.0,90.0
Sydney,76.0,53.0,64.5
Sydney,61.0,56.0,58.5
Sydney,85.0,61.0,73.0
Sydney,84.0,53.0,68.5
Sydney,86.0,61.0,73.5
Sydney,92.0,61.0,76.5
Sydney,67.0,44.0,55.5
Sydney,71.0,61.0,66.0
Sydney,74.0,46.0,60.0
Sydney,86.0,46.0,66.0
Sydney,74.0,55.0,64.5
Sydney,78.0,51.0,64.5
Sydney,80.0,39.0,59.5
Sydney,50.0,31.0,40.5
Sydney,58.0,34.0,46.0
Sydney,49.0,38.0,43.5
Sydney,64.0,40.0,52.0
Sydney,74.0,52.0,63.0
Sydney,91.0,53.0,72.0
Sydney,68.0,62.0,65.0
Sydney,53.0,62.0,57.5
Sydney,59.0,85.0,72.0
Sydney,66.0,80.0,73.0
Sydney,52.0,48.0,50.0
Sydney,82.0,61.0,71.5
Sydney,89.0,57.0,73.0
Sydney,88.0,86.0,87.0
Sydney,92.0,72.0,82.0
Sydney,65.0,65.0,65.0
Sydney,82.0,78.0,80.0
Sydney,86.0,67.0,76.5
Sydney,83.0,67.0,75.0
Sydney,91.0,68.0,79.5
Sydney,89.0,87.0,88.0
Sydney,97.0,86.0,91.5
Sydney,93.0,55.0,74.0
Sydney,71.0,45.0,58.0
Sydney,80.0,42.0,61.0
Sydney,63.0,34.0,48.5
Sydney,62.0,44.0,53.0
Sydney,37.0,32.0,34.5
Sydney,48.0,28.0,38.0
Sydney,67.0,41.0,54.0
Sydney,70.0,40.0,55.0
Sydney,74.0,61.0,67.5
Sydney,79.0,40.0,59.5
Sydney,81.0,88.0,84.5
Sydney,92.0,87.0,89.5
Sydney,95.0,85.0,90.0
Sydney,95.0,46.0,70.5
Sydney,95.0,87.0,91.0
Sydney,93.0,82.0,87.5
Sydney,96.0,59.0,77.5
Sydney,91.0,58.0,74.5
Sydney,86.0,49.0,67.5
Sydney,69.0,50.0,59.5
Sydney,76.0,51.0,63.5
Sydney,84.0,79.0,81.5
Sydney,86.0,54.0,70.0
Sydney,67.0,47.0,57.0
Sydney,66.0,54.0,60.0
Sydney,61.0,27.0,44.0
Sydney,55.0,32.0,43.5
Sydney,50.0,41.0,45.5
Sydney,59.0,34.0,46.5
Sydney,54.0,32.0,43.0
Sydney,74.0,48.0,61.0
Sydney,81.0,60.0,70.5
Sydney,96.0,61.0,78.5
Sydney,96.0,63.0,79.5
Sydney,97.0,65.0,81.0
Sydney,94.0,58.0,76.0
Sydney,80.0,56.0,68.0
Sydney,67.0,53.0,60.0
Sydney,68.0,34.0,51.0
Sydney,79.0,42.0,60.5
Sydney,78.0,47.0,62.5
Sydney,80.0,59.0,69.5
Sydney,84.0,42.0,63.0
Sydney,66.0,37.0,51.5
Sydney,72.0,34.0,53.0
Sydney,68.0,43.0,55.5
Sydney,54.0,39.0,46.5
Sydney,62.0,42.0,52.0
Sydney,62.0,51.0,56.5
Sydney,81.0,54.0,67.5
Sydney,83.0,68.0,75.5
Sydney,72.0,34.0,53.0
Sydney,63.0,38.0,50.5
Sydney,61.0,41.0,51.0
Sydney,65.0,39.0,52.0
Sydney,66.0,38.0,52.0
Sydney,60.0,33.0,46.5
Sydney,63.0,46.0,54.5
Sydney,58.0,29.0,43.5
Sydney,70.0,33.0,51.5
Sydney,69.0,40.0,54.5
Sydney,73.0,55.0,64.0
Sydney,47.0,21.0,34.0
Sydney,46.0,41.0,43.5
Sydney,70.0,55.0,62.5
Sydney,77.0,59.0,68.0
Sydney,81.0,64.0,72.5
Sydney,77.0,32.0,54.5
Sydney,63.0,35.0,49.0
Sydney,61.0,62.0,61.5
Sydney,77.0,35.0,56.0
Sydney,66.0,27.0,46.5
Sydney,37.0,20.0,28.5
Sydney,48.0,45.0,46.5
Sydney,70.0,50.0,60.0
Sydney,74.0,58.0,66.0
Sydney,47.0,33.0,40.0
Sydney,51.0,47.0,49.0
Sydney,64.0,51.0,57.5
Sydney,47.0,59.0,53.0
Sydney,29.0,26.0,27.5
Sydney,32.0,20.0,26.0
Sydney,44.0,37.0,40.5
Sydney,44.0,21.0,32.5
Sydney,51.0,59.0,55.0
Sydney,34.0,23.0,28.5
Sydney,40.0,30.0,35.0
Sydney,49.0,36.0,42.5
Sydney,60.0,58.0,59.0
Sydney,80.0,84.0,82.0
Sydney,81.0,43.0,62.0
Sydney,36.0,35.0,35.5
Sydney,53.0,58.0,55.5
Sydney,74.0,57.0,65.5
Sydney,56.0,56.0,56.0
Sydney,47.0,35.0,41.0
Sydney,45.0,38.0,41.5
Sydney,50.0,47.0,48.5
Sydney,49.0,27.0,38.0
Sydney,24.0,17.0,20.5
Sydney,70.0,60.0,65.0
Sydney,77.0,66.0,71.5
Sydney,80.0,79.0,79.5
Sydney,68.0,25.0,46.5
Sydney,43.0,51.0,47.0
Sydney,63.0,63.0,63.0
Sydney,49.0,30.0,39.5
Sydney,69.0,67.0,68.0
Sydney,45.0,34.0,39.5
Sydney,40.0,36.0,38.0
Sydney,36.0,26.0,31.0
Sydney,36.0,33.0,34.5
Sydney,24.0,19.0,21.5
Sydney,30.0,23.0,26.5
Sydney,39.0,31.0,35.0
Sydney,42.0,45.0,43.5
Sydney,57.0,34.0,45.5
Sydney,21.0,10.0,15.5
Sydney,72.0,68.0,70.0
Sydney,91.0,89.0,90.0
Sydney,88.0,61.0,74.5
Sydney,91.0,65.0,78.0
Sydney,77.0,64.0,70.5
Sydney,51.0,29.0,40.0
Sydney,49.0,48.0,48.5
Sydney,65.0,76.0,70.5
Sydney,84.0,59.0,71.5
Sydney,91.0,57.0,74.0
Sydney,61.0,63.0,62.0
Sydney,38.0,21.0,29.5
Sydney,36.0,34.0,35.0
Sydney,46.0,28.0,37.0
Sydney,42.0,19.0,30.5
Sydney,53.0,43.0,48.0
Sydney,80.0,61.0,70.5
Sydney,71.0,57.0,64.0
Sydney,71.0,62.0,66.5
Sydney,44.0,28.0,36.0
Sydney,67.0,63.0,65.0
Sydney,66.0,70.0,68.0
Sydney,63.0,56.0,59.5
Sydney,72.0,94.0,83.0
Sydney,91.0,60.0,75.5
Sydney,58.0,56.0,57.0
Sydney,76.0,68.0,72.0
Sydney,81.0,66.0,73.5
Sydney,78.0,60.0,69.0
Sydney,80.0,65.0,72.5
Sydney,62.0,58.0,60.0
Sydney,82.0,68.0,75.0
Sydney,73.0,18.0,45.5
Sydney,71.0,76.0,73.5
Sydney,75.0,68.0,71.5
Sydney,66.0,57.0,61.5
Sydney,69.0,60.0,64.5
Sydney,75.0,89.0,82.0
Sydney,77.0,61.0,69.0
Sydney,61.0,54.0,57.5
Sydney,74.0,64.0,69.0
Sydney,70.0,54.0,62.0
Sydney,66.0,60.0,63.0
Sydney,66.0,56.0,61.0
Sydney,74.0,63.0,68.5
Sydney,72.0,62.0,67.0
Sydney,61.0,59.0,60.0
Sydney,72.0,51.0,61.5
Sydney,70.0,63.0,66.5
Sydney,71.0,52.0,61.5
Sydney,56.0,45.0,50.5
Sydney,75.0,19.0,47.0
Sydney,62.0,68.0,65.0
Sydney,84.0,74.0,79.0
Sydney,82.0,74.0,78.0
Sydney,80.0,67.0,73.5
Sydney,50.0,41.0,45.5
Sydney,63.0,51.0,57.0
Sydney,28.0,20.0,24.0
Sydney,55.0,61.0,58.0
Sydney,58.0,59.0,58.5
Sydney,69.0,44.0,56.5
Sydney,58.0,52.0,55.0
Sydney,69.0,61.0,65.0
Sydney,59.0,64.0,61.5
Sydney,61.0,58.0,59.5
Sydney,67.0,62.0,64.5
Sydney,68.0,70.0,69.0
Sydney,76.0,59.0,67.5
Sydney,75.0,70.0,72.5
Sydney,30.0,30.0,30.0
Sydney,57.0,55.0,56.0
Sydney,68.0,61.0,64.5
Sydney,72.0,69.0,70.5
Sydney,59.0,62.0,60.5
Sydney,74.0,70.0,72.0
Sydney,71.0,51.0,61.0
Sydney,87.0,83.0,85.0
Sydney,70.0,34.0,52.0
Sydney,62.0,59.0,60.5
Sydney,65.0,64.0,64.5
Sydney,58.0,53.0,55.5
Sydney,70.0,68.0,69.0
Sydney,,69.0,69.0
Sydney,65.0,85.0,75.0
Sydney,91.0,85.0,88.0
Sydney,92.0,80.0,86.0
Sydney,97.0,83.0,90.0
Sydney,69.0,55.0,62.0
Sydney,66.0,57.0,61.5
Sydney,92.0,83.0,87.5
Sydney,84.0,56.0,70.0
Sydney,70.0,79.0,74.5
Sydney,80.0,74.0,77.0
Sydney,64.0,58.0,61.0
Sydney,64.0,60.0,62.0
Sydney,83.0,71.0,77.0
Sydney,66.0,59.0,62.5
Sydney,66.0,59.0,62.5
Sydney,76.0,51.0,63.5
Sydney,65.0,56.0,60.5
Sydney,64.0,60.0,62.0
Sydney,77.0,65.0,71.0
Sydney,64.0,69.0,66.5
Sydney,90.0,75.0,82.5
Sydney,83.0,74.0,78.5
Sydney,72.0,63.0,67.5
Sydney,64.0,68.0,66.0
Sydney,55.0,14.0,34.5
Sydney,39.0,31.0,35.0
Sydney,41.0,34.0,37.5
Sydney,74.0,58.0,66.0
Sydney,77.0,64.0,70.5
Sydney,28.0,17.0,22.5
Sydney,92.0,66.0,79.0
Sydney,80.0,70.0,75.0
Sydney,83.0,69.0,76.0
Sydney,78.0,72.0,75.0
Sydney,80.0,81.0,80.5
Sydney,81.0,53.0,67.0
Sydney,82.0,66.0,74.0
Sydney,75.0,70.0,72.5
Sydney,73.0,66.0,69.5
Sydney,61.0,60.0,60.5
Sydney,90.0,66.0,78.0
Sydney,83.0,76.0,79.5
Sydney,79.0,88.0,83.5
Sydney,95.0,95.0,95.0
Sydney,95.0,86.0,90.5
Sydney,76.0,70.0,73.0
Sydney,83.0,65.0,74.0
Sydney,72.0,61.0,66.5
Sydney,71.0,60.0,65.5
Sydney,71.0,32.0,51.5
Sydney,92.0,80.0,86.0
Sydney,91.0,92.0,91.5
Sydney,95.0,67.0,81.0
Sydney,65.0,57.0,61.0
Sydney,64.0,56.0,60.0
Sydney,52.0,51.0,51.5
Sydney,60.0,51.0,55.5
Sydney,76.0,54.0,65.0
Sydney,75.0,59.0,67.0
Sydney,61.0,46.0,53.5
Sydney,54.0,60.0,57.0
Sydney,55.0,52.0,53.5
Sydney,45.0,46.0,45.5
Sydney,73.0,58.0,65.5
Sydney,79.0,60.0,69.5
Sydney,83.0,72.0,77.5
Sydney,68.0,84.0,76.0
Sydney,52.0,52.0,52.0
Sydney,53.0,53.0,53.0
Sydney,73.0,67.0,70.0
Sydney,72.0,83.0,77.5
Sydney,90.0,77.0,83.5
Sydney,71.0,68.0,69.5
Sydney,72.0,65.0,68.5
Sydney,46.0,35.0,40.5
Sydney,85.0,67.0,76.0
Sydney,63.0,49.0,56.0
Sydney,55.0,54.0,54.5
Sydney,68.0,52.0,60.0
Sydney,87.0,50.0,68.5
Sydney,78.0,57.0,67.5
Sydney,82.0,54.0,68.0
Sydney,80.0,54.0,67.0
Sydney,77.0,51.0,64.0
Sydney,82.0,60.0,71.0
Sydney,64.0,68.0,66.0
Sydney,64.0,56.0,60.0
Sydney,64.0,57.0,60.5
Sydney,74.0,60.0,67.0
Sydney,79.0,58.0,68.5
Sydney,75.0,61.0,68.0
Sydney,80.0,52.0,66.0
Sydney,80.0,66.0,73.0
Sydney,82.0,66.0,74.0
Sydney,78.0,56.0,67.0
Sydney,92.0,88.0,90.0
Sydney,68.0,67.0,67.5
Sydney,68.0,45.0,56.5
Sydney,74.0,46.0,60.0
Sydney,72.0,56.0,64.0
Sydney,84.0,59.0,71.5
Sydney,76.0,64.0,70.0
Sydney,74.0,62.0,68.0
Sydney,90.0,65.0,77.5
Sydney,77.0,71.0,74.0
Sydney,68.0,55.0,61.5
Sydney,78.0,41.0,59.5
Sydney,58.0,33.0,45.5
Sydney,33.0,22.0,27.5
Sydney,52.0,46.0,49.0
Sydney,71.0,49.0,60.0
Sydney,77.0,62.0,69.5
Sydney,77.0,64.0,70.5
Sydney,82.0,63.0,72.5
Sydney,84.0,66.0,75.0
Sydney,82.0,65.0,73.5
Sydney,87.0,57.0,72.0
Sydney,95.0,63.0,79.0
Sydney,81.0,63.0,72.0
Sydney,68.0,50.0,59.0
Sydney,57.0,49.0,53.0
Sydney,77.0,70.0,73.5
Sydney,56.0,46.0,51.0
Sydney,65.0,41.0,53.0
Sydney,64.0,32.0,48.0
Sydney,44.0,35.0,39.5
Sydney,79.0,64.0,71.5
